met.x	met.y	rxn
C00049	C04540	R03421
C00049	C04823	R04591
C00049	C02984	R05577
C00051	C00127	R00094
C00051	C00127	R00115
C00051	C00127	R00274
C00051	C01419	R00494
C00051	C00669	R00497
C00051	C01031	R00527
C00051	C05526	R00900
C00051	C01419	R01262
C00051	C03451	R01736
C00051	C03451	R02530
C00051	C00127	R02824
C00051	C02166	R03059
C00051	C00127	R03167
C00051	C02320	R03522
C00051	C00127	R03915
C00051	C03899	R04090
C00051	C14791	R07002
C00051	C14793	R07003
C00051	C14792	R07004
C00051	C14803	R07023
C00051	C14804	R07024
C00051	C14805	R07025
C00051	C14806	R07026
C00051	C14847	R07069
C00051	C14848	R07070
C00051	C14855	R07083
C00051	C14856	R07084
C00051	C14861	R07091
C00051	C14865	R07092
C00051	C14864	R07093
C00051	C14863	R07094
C00051	C14868	R07100
C00051	C14874	R07113
C00051	C14871	R07116
C00051	C11583	R08280
C00051	C02320	R08511
C00051	C02320	R08512
C00051	C17267	R08677
C00051	C11278	R09409
C00052	C00243	R00503
C00052	C00446	R00955
C00053	C00054	R00507
C00053	C00224	R00508
C00053	C00224	R00509
C00053	C00054	R00629
C00053	C00054	R01242
C00053	C00054	R01861
C00053	C00054	R02180
C00053	C00054	R02181
C00053	C00054	R02350
C00053	C00054	R02586
C00053	C00054	R02809
C00053	C00054	R03405
C00053	C00054	R03553
C00053	C00054	R03987
C00053	C00054	R04017
C00053	C00054	R05105
C00053	C00054	R05798
C00053	C00054	R07287
C00053	C00054	R07288
C00053	C00054	R08977
C00053	C00054	R08978
C00053	C00054	R09444
C00053	C00054	R10805
C00053	C00054	R10868
C00053	C00054	R10869
C00053	C00054	R10873
C00058	C01044	R00526
C00058	C01031	R00527
C00058	C00234	R00943
C00058	C05653	R00988
C00058	C02700	R01959
C00058	C05297	R02351
C00058	C05295	R03087
C00058	C04258	R04268
C00058	C05648	R04911
C00058	C11439	R05635
C00058	C15606	R07363
C00058	C15606	R07364
C00058	C00535	R10511
C00058	C00280	R10515
C00059	C00224	R00529
C00059	C00094	R00533
C00061	C00255	R00548
C00061	C00255	R00549
C00062	C00077	R00551
C00062	C00086	R00551
C00062	C00327	R00557
C00062	C00077	R00565
C00062	C00581	R00565
C00062	C00179	R00566
C00062	C05340	R00912
C00062	C03406	R01086
C00062	C00077	R01686
C00062	C01201	R01886
C00062	C00077	R01989
C00062	C02163	R03646
C00064	C00169	R00575
C00064	C00352	R00768
C00064	C03090	R01072
C00064	C00940	R01375
C00064	C02282	R03652
C00065	C01005	R00582
C00065	C00168	R00585
C00065	C00168	R00588
C00065	C00740	R00589
C00065	C00097	R00891
C00065	C02934	R01281
C00065	C00542	R01289
C00065	C02291	R01290
C00065	C02553	R03662
C00065	C05699	R04942
C00065	C02737	R07376
C00065	C06481	R08218
C00065	C04377	R09099
C00066	C03880	R04238
C00068	C05125	R00014
C00068	C03028	R00616
C00068	C03028	R00618
C00068	C00378	R00619
C00068	C05381	R00621
C00068	C05381	R03316
C00068	C13378	R06861
C00068	C13378	R06863
C00068	C15976	R07599
C00068	C15976	R07600
C00068	C15974	R07601
C00068	C15974	R07602
C00068	C15978	R07603
C00068	C15978	R07604
