ID	pval	padj	log2FC	baseMean	logPval
C01735	0.561360234190298	0.762076034942852	0.0618400000000001	13.4539153846154	-0.833001225494354
C00380	0.566698217779587	0.767854455388372	0.0424000000000042	14.6386897435897	-0.819347429592905
C01586	0.589991238336151	0.796376006119139	0.0606599999999968	13.8317948717949	-0.761234564993973
C05598	0.589991238336151	0.796376006119139	0.0606599999999968	13.8317948717949	-0.761234564993973
C05498	0.592428568090341	0.798148545245051	0.0802199999999971	14.8078205128205	-0.755286882943062
C07322	0.598245910898861	0.802938746196959	0.0640200000000029	14.5020230769231	-0.741189464128346
C09642	0.598245910898861	0.802938746196959	0.0573199999999989	14.8381076923077	-0.741189464128346
C09817	0.601830683118383	0.806226009460475	-0.184559999999998	10.7062692307692	-0.732570433456566
C02592	0.610199713622631	0.81589792216962	0.0484800000000032	13.5740102564103	-0.712646592052581
C01967	0.611636137695798	0.816281311586497	-0.185540000000001	10.9930333333333	-0.709254445980823
C00141	0.61789370685911	0.819783209315012	0.0498800000000017	14.4685743589744	-0.694569414971917
C03273	0.61789370685911	0.819783209315012	0.0498800000000017	14.4685743589744	-0.694569414971917
C06255	0.61789370685911	0.819783209315012	0.0498800000000017	14.4685743589744	-0.694569414971917
C00187	0.623497088774798	0.819783209315012	0.161379999999994	15.2975282051282	-0.681545271031242
C01189	0.623497088774798	0.819783209315012	0.161379999999994	15.2975282051282	-0.681545271031242
C03091	0.623497088774798	0.819783209315012	0.161379999999994	15.2975282051282	-0.681545271031242
C03238	0.623497088774798	0.819783209315012	0.161379999999994	15.2975282051282	-0.681545271031242
C03845	0.623497088774798	0.819783209315012	0.161379999999994	15.2975282051282	-0.681545271031242
C00048	0.633950193443702	0.831986390656245	0.0523199999999981	11.2731384615385	-0.657558595996475
C05189	0.643418198793773	0.838060984127223	-0.0585000000000004	11.6805615384615	-0.636171352340582
C01251	0.644480700469667	0.838060984127223	0.0780600000000007	11.7291358974359	-0.633790938400661
C04593	0.644480700469667	0.838060984127223	0.0780600000000007	11.7291358974359	-0.633790938400661
C05849	0.644480700469667	0.838060984127223	-0.222259999999997	13.0013076923077	-0.633790938400661
C16241	0.644480700469667	0.838060984127223	0.0780600000000007	11.7291358974359	-0.633790938400661
C00097	0.652294184419401	0.841673121983231	0.0691399999999955	10.7984384615385	-0.61640532877101
C00793	0.652294184419401	0.841673121983231	0.0691399999999955	10.7984384615385	-0.61640532877101
C00128	0.663549742715437	0.841673121983231	0.0624799999999972	14.0506820512821	-0.591723474236955
C01796	0.665872591506065	0.841673121983231	-0.0635400000000015	12.6245564102564	-0.586681937390466
C02045	0.665872591506065	0.841673121983231	-0.0635400000000015	12.6245564102564	-0.586681937390466
C15587	0.665872591506065	0.841673121983231	-0.0635400000000015	12.6245564102564	-0.586681937390466
C00112	0.66978213228243	0.841673121983231	0.0416799999999977	12.8555487179487	-0.578236204974954
C00168	0.66978213228243	0.841673121983231	-0.05166	11.5440435897436	-0.578236204974954
C00383	0.66978213228243	0.841673121983231	-0.05166	11.5440435897436	-0.578236204974954
C00550	0.66978213228243	0.841673121983231	0.211800000000002	10.5978641025641	-0.578236204974954
C01146	0.66978213228243	0.841673121983231	-0.05166	11.5440435897436	-0.578236204974954
C01407	0.66978213228243	0.841673121983231	0.0669400000000024	12.9826	-0.578236204974954
C02678	0.66978213228243	0.841673121983231	0.0602199999999993	14.3370307692308	-0.578236204974954
C05139	0.66978213228243	0.841673121983231	0.0993000000000048	14.0939923076923	-0.578236204974954
C05291	0.66978213228243	0.841673121983231	0.0993000000000048	14.0939923076923	-0.578236204974954
C05294	0.66978213228243	0.841673121983231	0.0993000000000048	14.0939923076923	-0.578236204974954
C14497	0.66978213228243	0.841673121983231	0.0993000000000048	14.0939923076923	-0.578236204974954
C14552	0.66978213228243	0.841673121983231	0.0993000000000048	14.0939923076923	-0.578236204974954
C18045	0.66978213228243	0.841673121983231	0.0993000000000048	14.0939923076923	-0.578236204974954
C02528	0.693507638735063	0.857974187917329	-0.0694199999999991	11.3550230769231	-0.528016321488447
C04483	0.693507638735063	0.857974187917329	-0.0694199999999991	11.3550230769231	-0.528016321488447
C07880	0.693507638735063	0.857974187917329	-0.0694199999999991	11.3550230769231	-0.528016321488447
