rxn	gene
R04523	240894
R04523	226564
R04523	14261
R04523	55990
R04523	14262
R08266	14263
R08266	226604
R08266	226565
R08266	226601
R08266	240894
R08266	226564
R08266	14261
R08266	55990
R08266	14262
R01960	98256
R07204	13124
R07207	13116
R07208	56050
R03089	72082
R03089	53973
R03089	404195
R03089	71754
R03089	69888
R03089	320997
R03089	56448
R03089	545123
R03089	106648
R03089	208285
R03089	100066
R03089	13088
R03089	72303
R03089	13110
R03089	665095
R03089	70101
R03089	631304
R03089	380997
R03089	13109
R03089	76279
R03089	13105
R03089	100041375
R03089	13090
R03089	13087
R03089	337924
R03089	13076
R03089	56388
R03089	74134
R03089	433247
R03089	13098
R03089	243881
R03089	13107
R03089	13078
R03089	13085
R03089	13112
R03089	107141
R03089	13096
R03089	13120
R03089	226105
R03089	13114
R03089	242546
R03089	13101
R03089	13077
R03089	223706
R03089	81906
R03089	230459
R03089	13097
R03089	74519
R03089	13095
R03089	13113
R03089	13089
R03089	13094
R03089	13099
R03089	226143
R03089	13086
R09424	72082
R09424	53973
R09424	404195
R09424	71754
R09424	69888
R09424	320997
R09424	56448
R09424	545123
R09424	106648
R09424	208285
R09424	100066
R09424	13088
R09424	72303
R09424	13110
R09424	665095
R09424	70101
R09424	631304
R09424	380997
R09424	13109
R09424	76279
R09424	13105
R09424	100041375
R09424	13090
R09424	13087
R09424	337924
R09424	13076
R09424	56388
R09424	74134
R09424	433247
R09424	13098
R09424	243881
R09424	13107
R09424	13078
R09424	13085
R09424	13112
R09424	107141
R09424	13096
R09424	13120
R09424	226105
R09424	13114
R09424	242546
R09424	13101
R09424	13077
R09424	223706
R09424	81906
R09424	230459
R09424	13097
R09424	74519
R09424	13095
R09424	13113
R09424	13089
R09424	13094
R09424	13099
R09424	226143
R09424	13086
R03088	72082
R03088	53973
R03088	404195
R03088	71754
R03088	69888
R03088	320997
R03088	56448
R03088	545123
R03088	106648
R03088	208285
R03088	100066
R03088	13088
R03088	72303
R03088	13110
R03088	665095
R03088	70101
R03088	631304
R03088	380997
R03088	13109
R03088	76279
R03088	13105
R03088	100041375
R03088	13090
R03088	13087
R03088	337924
R03088	13076
R03088	56388
R03088	74134
R03088	433247
R03088	13098
R03088	243881
R03088	13107
R03088	13078
R03088	13085
R03088	13112
R03088	107141
R03088	13096
R03088	13120
R03088	226105
R03088	13114
R03088	242546
R03088	13101
R03088	13077
R03088	223706
R03088	81906
R03088	230459
R03088	13097
R03088	74519
R03088	13095
R03088	13113
R03088	13089
