ID	symbol	pval	padj	log2FC	baseMean	logPval
72284	Oraov1	0.0896842976926627	0.465606227838431	1.73946831232869	45.4512353883828	-3.47900077568881
72400	Pinx1	0.0896933068880639	0.465606227838431	1.13829676850519	116.499009288075	-3.47885585769228
76192	Abhd12	0.0897279519255215	0.465606227838431	-0.907541107339777	306.175633147461	-3.47829870828108
100763	Ube3c	0.0899832592368602	0.466736647307261	-1.12699191018384	54.3686248275987	-3.47419956680422
13436	Dnmt3b	0.0900549596290595	0.466879686758835	-5.0812394151128	3.17083568261043	-3.47305045739427
110157	Raf1	0.0901171800590933	0.466879686758835	1.14037932836116	296.281543956223	-3.47205402021396
21411	Tcf20	0.0901283468645485	0.466879686758835	0.890187642148925	793.05316289813	-3.47187526077235
67282	Ccdc53	0.0901774057520469	0.466879686758835	-2.95557552828863	10.1132899153492	-3.47109018304271
18008	Nes	0.090261218159276	0.466879686758835	-2.34779659632728	136.098847387903	-3.46974994057855
114674	Gtf2ird2	0.0902696353561415	0.466879686758835	-2.51383879699588	20.4622200929131	-3.46961541013184
218734	3830406C13Rik	0.0902889212408544	0.466879686758835	1.23454340948562	150.42214506793	-3.46930721481986
64209	Herpud1	0.0903106224487352	0.466879686758835	-1.12834285671097	58.3450572187335	-3.46896050048712
67239	Rpf2	0.0903723519183571	0.467005032165413	1.15781541547577	141.361547196764	-3.46797472079784
60322	Chst7	0.0904306432916754	0.467112514415831	-Inf	1.51815104223472	-3.46704446322075
215160	Rhbdd2	0.0905371766743489	0.467431879863069	1.29336643390591	67.7971639546225	-3.46534587171807
57170	Dolpp1	0.090622622371694	0.467431879863069	-1.36553861537146	70.4625286225503	-3.46398495065705
140559	Igsf8	0.0906437409905215	0.467431879863069	1.41991327601788	114.645075841326	-3.46364878540029
56174	Nagk	0.0906862112200784	0.467431879863069	-1.04936139610656	75.3983082748667	-3.46297298319618
93730	Lztfl1	0.0907320102773645	0.467431879863069	0.933106917698448	230.12013654517	-3.46224456602086
76688	Arfrp1	0.0907913020309996	0.467431879863069	1.10587535848371	137.740958055767	-3.4613020984018
77976	Nuak1	0.090820938866388	0.467431879863069	-0.973734385022234	158.968003444844	-3.46083123899705
56431	Dstn	0.0908277055708888	0.467431879863069	-0.907564242569037	417.44074518344	-3.46072375357032
70047	Trnt1	0.0908301293160358	0.467431879863069	1.25675128256581	202.116277668412	-3.46068525564254
74551	Pck2	0.0909507788410256	0.467859518406415	-1.34835514793646	56.7639552086957	-3.45877019757939
268822	Adck5	0.0909987452836324	0.467913069537258	-2.90924982355965	20.5114339896716	-3.45800953661241
11782	Ap4s1	0.0910493189232722	0.467979977089541	-1.48252439258289	35.8017226178296	-3.457207964332
18003	Nedd9	0.0911861576700755	0.468304285480739	-1.73986549405306	12.6712184870262	-3.45504135416138
26611	Rcn2	0.0911911981643131	0.468304285480739	-0.960255309550654	183.108443417986	-3.45496160855909
66594	Uqcr11	0.0912613819432173	0.468304285480739	-0.947886494234597	158.332824961228	-3.45385168953563
56040	Rplp1	0.0912757386418347	0.468304285480739	-0.838075939609492	8190.06372518638	-3.45362475116962
232941	Ppm1n	0.0913305239540662	0.468304285480739	-Inf	4.70151340430982	-3.45275907986659
75736	Bcl2l12	0.0913379415457257	0.468304285480739	-1.25345247675115	63.587902859168	-3.45264191325352
231633	Tmem119	0.0914487990644243	0.468679797426435	-Inf	2.98158644057118	-3.45089196562004
74617	Scpep1	0.0917559333443055	0.470060515434499	1.01540532331421	1033.35794363897	-3.4460547377629
76073	Pcgf5	0.0918812230177177	0.470508901593812	1.91631703643323	78.107602081054	-3.44408612942531
14296	Frat1	0.0919664874545117	0.470752040754216	-Inf	2.92563356464317	-3.44274795024831
12345	Capzb	0.092042933727623	0.470934074246679	-0.864876923049271	3457.40587336735	-3.44154922178377
19889	Rp2h	0.09209217211623	0.470934074246679	0.96510210057163	388.253883444692	-3.4407776580949
269823	Pon3	0.092115445777282	0.470934074246679	-0.967020080903931	108.725180485024	-3.44041310427302
